reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.45,11369.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.5,11663.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.55,11961.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.6,12518.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.65,12936.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.7,13285.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.75,13808.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.8,14089.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.85,14819.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.9,15693.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.95,17593.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.975,19524.0
2025-12-13,US,1.0,wk inc flu hosp,2025-12-20,quantile,0.99,20659.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.01,4438.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.025,5371.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.05,6472.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.1,7632.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.15,8668.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.2,9387.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.25,10025.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.3,11188.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.35,12219.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.4,12807.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.45,13618.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.5,14313.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.55,14740.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.6,15239.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.65,15948.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.7,16698.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.75,17480.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.8,18347.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.85,19436.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.9,21425.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.95,24321.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.975,26821.0
2025-12-13,US,2.0,wk inc flu hosp,2025-12-27,quantile,0.99,29631.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.01,4257.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.025,5902.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.05,6444.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.1,7827.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.15,9290.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.2,10170.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.25,11170.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.3,11923.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.35,13220.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.4,14221.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.45,15013.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.5,16030.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.55,17163.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.6,17824.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.65,18478.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.7,19306.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.75,20763.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.8,21918.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.85,23499.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.9,25499.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.95,29023.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.975,33744.0
2025-12-13,US,3.0,wk inc flu hosp,2026-01-03,quantile,0.99,38269.0
